"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"783","seiffert,d.a.","0042166","wo",1,"seiffert","d","a.","seiffert,d","mitchell,t"
"784","mitchell,t.j.","0042166","wo",2,"mitchell","t","j.","mitchell,t","seiffert,d"
"785","ruelle,j.l.","0042191","wo",1,"ruelle","j","l.","ruelle,j","thonnard,j"
"786","thonnard,j.","0042191","wo",2,"thonnard","j","","thonnard,j","ruelle,j"
"787","ruelle,j.l.","0042192","wo",1,"ruelle","j","l.","ruelle,j",""
"788","ruelle,j.l.","0042193","wo",1,"ruelle","j","l.","ruelle,j",""
"789","carman,f.w.","0042194","wo",1,"carman","f","w.","carman,f",""
"790","geerlings,a.","0042200","wo",1,"geerlings","a","","geerlings,a","van der heijden,r, memelink,j, verpoorte,r"
"791","van der heijden,r.","0042200","wo",2,"van der heijden","r","","van der heijden,r","geerlings,a, memelink,j, verpoorte,r"
"792","memelink,j.","0042200","wo",3,"memelink","j","","memelink,j","geerlings,a, van der heijden,r, verpoorte,r"
"793","verpoorte,r.","0042200","wo",4,"verpoorte","r","","verpoorte,r","geerlings,a, van der heijden,r, memelink,j"
"794","proudfoot,n.j.","0042204","wo",1,"proudfoot","n","j.","proudfoot,n","aranda,f, greger,i"
"795","aranda,f.a.","0042204","wo",2,"aranda","f","a.","aranda,f","proudfoot,n, greger,i"
"796","greger,i.h.","0042204","wo",3,"greger","i","h.","greger,i","proudfoot,n, aranda,f"
"797","kusk,p.","0042216","wo",1,"kusk","p","","kusk,p",""
"798","morgan,j.a.","0042855","wo",1,"morgan","j","a.","morgan,j","ellis,d, jarrett,p, ousley,m"
"799","ellis,d.","0042855","wo",2,"ellis","d","","ellis,d","morgan,j, jarrett,p, ousley,m"
"800","jarrett,p.","0042855","wo",3,"jarrett","p","","jarrett,p","morgan,j, ellis,d, ousley,m"
"801","ousley,m.a.","0042855","wo",4,"ousley","m","a.","ousley,m","morgan,j, ellis,d, jarrett,p"
"802","saretzki,g.","0043501","wo",1,"saretzki","g","","saretzki,g","ludwig,a, von,z"
"803","ludwig,a.","0043501","wo",2,"ludwig","a","","ludwig,a","saretzki,g, von,z"
